Name,Type,One Liner,Industry,Website,Description,Business Model,Mega-trend,Driver,Value Chain Position,Stack Position,Theme,Focus Area,Opportunity Space- OLD,Tagged Opp Space?,Opp Space (V1),Final Opp Space,Founded,Employees,Country,City,Location,Funded,Funding Stage,Latest Funding Date,Latest Funding (USD),Total Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Owner,Checked,Inc. Radar,Hero,BHG Partnered,OLD - Focus Areas,OLD - Opp Space,Input,RM Relationship,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Result,0.3,0.5,0.2,Text to no.conversion,Rnd,Contact - Email,Contact - LinkedIn
Freiht box,Startup,Online marketplace for booking maritime freight forwarding services,,https://freight-box.com,,Logistics Tech > Freight > Ocean or Air > Forwarding > Marketplace,,,,,Digital Trading,Online Marketplace,,,,,2019,,United Arab Emirates,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,41940,,
Freightcrate,Startup,Online marketplace for import export shipments,,https://freightcrate.in,"Freightcrate provides an online platform to connect importers, exporters with shippers. Customers can source shipping quotes from multiple service providers and also book online. Its features include ability to compare quotes, automated email shipment updates, online tracking and a dashboard to analyze expenditure and budgets.",Logistics Tech > Freight > Ocean or Air > Forwarding > Marketplace,,,,,Data Utilisation,Other,Freight forwarding,,,,2016,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,1981,"ruchidogra@freightcrate.in
 ruchipdogra@gmail.com
 samirlambay@freightcrate.in
 samirlambay@gmail.com","http://linkedin.com/in/ruchidogra
 http://linkedin.com/in/samir-lambay-1144274a"
Numax,Startup,"Numax Cloudtech is the developer of a freight quotation platform. Its features include freight pricing and quotations from airlines, multiple role-based user management, integration of partner forwarder agents and truckers for final quoting, airline management systems, circular and tariff management, pricing and customer management, as well as history-based quotation generation. Its clients include Rajkumar Freight Forwarders and Zircon Logistics.",Maritime,https://numaxcloud.com,"Numax Cloudtech is the developer of a freight quotation platform. Its features include freight pricing and quotations from airlines, multiple role-based user management, integration of partner forwarder agents and truckers for final quoting, airline management systems, circular and tariff management, pricing and customer management, as well as history-based quotation generation. Its clients include Rajkumar Freight Forwarders and Zircon Logistics.","Data as a Service > Industries > Transportation Data > Freights Data
 Logistics Tech > Freight > Software Solutions > Freight Pricing",,,,,Data Utilisation,Other,Freight forwarding,,,,2017,,India,Mumbai,Global,No,Unfunded,,,Not Applicable,Nascent,,,Miles,,FALSE,TRUE,FALSE,AI Enabled Prediction,Trade Data Analytics,Old,SCR,,0.5,0,0,0.15,Nascent,,,,,18841,"faizmh@gmail.com
 faizmh@repoto.co
 faizmh@numaxcloud.com",http://linkedin.com/in/faizmh
Terminal2,Startup,Provider of a cloud-based collaboration and market platform for freight forwarding services,,https://terminal2online.com,,Logistics Tech > Freight > Ocean or Air > Carrier Booking > Multi-channel,,,,,Digital Trading,Online Marketplace,,,,,2018,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,11095,,
LetsCargo,,Air and ocean freight booking platform,Maritime,http://www.letscargo.cn,"Let's Cargo offers a web and mobile B2B logistics freight platform for bulk air and sea shipping industries. Users can generate shipping quotes, track cargo, book service providers for freight transportation via air and ocean, and access information related to import and export rules and regulations. Also provides customs clearance services, quote management system, price analysis and analytics tool, etc. It is a portfolio company of New Zealand Venture Investment Fund.",,,,,,Digital Trading,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2014,,China,Xiamen,Global,Yes,,,,,Nascent,,,Miles,,FALSE,,FALSE,Business Model Innovation,Freight Orchestration,Old,,,0.5,0.66,0,0.48,Nascent,,,,,12382,,
Lineten,,End-to-end back-office management solutions for multi-channel retailers,Consumer,http://www.lineten.com,"Lineten provides end-to-end back-office management solutions for multi-channel retailers. Its product, NOQU Delivery, optimises the product delivery processes. Its features include real-time GPS tracking, route optimisation, delivery partner selection, live notifications, reporting & analytics and others. Its other product, NOQU Online, is a white-label application which can be integrated with retailers POS system. It connects customers and enables online product ordering. POS Bridge is another product that the company offers which can be integrated with existing e-commerce and POS platforms and manages multi-channel order & inventory. Clients include Five Guys, Krispy Kreme, Office Outlet and more.",,,,,,Digital Trading,Intelligent Sourcing,Product Sourcing & Delivery,Yes,Predicting supply & demand,Predicting Supply & Demand,2013,51-200,United Kingdom,London,Europe,Yes,Series A,,,"11,400,000",Emerging,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,,4375,,
Planyourcargo,Startup,Online aggregator and booking platform for freight transport,,https://planyourcargo.com,"Planyourcargo provides an online platform to search and book freight transport services. The online portal can be used by shippers, importers, forwarders and brokers to compare and book transport.",Logistics Tech > Freight > Ocean or Air > Carrier Booking > Multi-channel,,,,,Digital Trading,Online Marketplace,,,,,2016,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,37012,"sandeep.bhalotia@gmail.com
 sandeep.bhalotia@planyourcargo.com",https://linkedin.com/in/sandeep-bhalotia-57941813
Crux Systems,Startup,Real-time container tracking,,https://cruxsystems.com,"Crux systems provide an online platform which displays real-time container availability information for any import container in US. Customers can add multiple containers to their watchlist and view information like import pickup availability, customs hold and free days. Platform also issues notifications about container status and service appointments to the customers to promote proactive action from involved parties.",,,,,,Data Utilisation,Market Intelligence,Container Availability,Yes,Cargo Tracking,Cargo Tracking,2014,11-50,USA,Burlingame,Global,Yes,Acquired,,,"200,000",Emerging,,,Miles,,TRUE,,FALSE,Data & AI,Freight Orchestration,Old,General Scouting,bought by Flexport,0.5,0.66,1,0.68,Emerging,,,,,35907,ericklein@cruxsystems.com,http://linkedin.com/in/eric96klein
LoadEx,,Online container freight price matching service,Maritime,http://loadex.com,"LoadEx brings together freight forwarders, carriers, importers and exporters with its online platform for selling container spaces. Shippers can request for a quote and get automatically matched with carriers. Provides access to the container market in the US, China, India, EU, and Middle East. It is free to sign up and charges a $9.99 fee per container after order has been matched if the user wishes to proceed. Loadex does not handle the logistics; it establishes a port to port rate agreement between the customer (buyer) and the service provider (seller).",,,,,,Digital Trading,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2015,1-10,USA,Kirkland,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,23515,,
Quote-it,,Online marketplace for freight booking,Maritime,https://quote-it.net/,"Quote-it is an online marketplace for freight quote comparison and booking. The company has registered logistics services providers on its portal. The users can request a bid by entering the pickup and destination points and type of cargo. The registered agents then bid and provide quotes to the users. The usr can select suitable quote and communicate accordingly with the service providers. The company provides platform for freight forwarding, custom brokerage, transportation and 3PL parties.",,,,,,Digital Trading,Online Marketplace,,,,,2015,,Kazakhstan,Almaty,Europe,No,Unfunded,,,Not Applicable,Nascent,,,,,,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,0,0.15,Nascent,,,,,10534,,
Logstar,Startup,Terminal operations software systems,,https://logstarerp.com,"Logstarerp provides software solutions for management of cargo terminal operations. Its products include LogStar Gencare - for general cargo terminals, LogStar Quay Link - for container terminals and LogStar Depot Plus for inland container terminals. Customers can configure the software by selecting a number of modules for their solution. Available modules include billing, container yards, container M&R, marine, warehouse etc.","Logistics Tech > Freight > Software Solutions > Terminal Operation
 Maritime Tech > Shipping and Port Management > Port Management",,,,,New Customer Services,Vessel Services,Vessel operations ,,,,2010,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Port Orchestration,Old,Decarb,,1,0,0,0.3,Nascent,,,,,6562,,http://linkedin.com/in/pradhnesh
LogBase,,Online platform that provides multiple logistics solutions,Logistics,https://www.logbase.de,"LogBase is an online platform that provides multiple logistics solutions like warehouse management, automated control over inventory management, planning & optimization, transport and logistics, automatic storage, ERP solution, the cloud-based platform that supports warehouse and inventory management, order and document management, transportation and billing, monitoring and analyzing hazardous goods and yard management with traffic control app for IOS, Android or Windows devices. The company offers solutions for various industries.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2012,1-10,Germany,Dresden,Europe,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Port-Side Analytics,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,29307,,
Logentis,,Software solutions for logistics,Logistics,https://www.logentis.de,"Logentis provides warehouse management and shipping software for logistics. Netstorsys, the WMS solution is a web-based enterprise WMS which supports picking, return management, relocation, planning, and relocation. Netversys is the server-based, database neutral shipping software which can be used on different types of server systems. It supports carriers like DHL, DPD, GLS, Fedex and TNT among others. Additional features include track and trace, rule-based carrier selection and customs management.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2003,1-10,Germany,Osnabruck,Europe,No,Unfunded,,,,Emerging,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,1,0,1,0.5,Emerging,,,,,17763,,
Logi-Sys,,Cloud-based ERP software for the logistics industry,Logistics,http://www.mylogisys.net,"Logi-Sys is an end-to-end cloud-based ERP for the logistics industry. The product covers various aspects/functionalities such as freight management (air/ocean), sales management, billing/invoicing, financial accounting, customs management, compliance management, transport management, warehouse management, PO management, container management, real-time supply chain visibility, consumer notifications, reporting, and more. It is available as a SaaS solution as well as on a perpetual license-based on-premise solution.",,,,,,Digital Trading,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2009,1-10,India,Mumbai,Global,No,Unfunded,,,,Emerging,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,1,0,1,0.5,Emerging,,,,,11503,,
Shipmart Tech,Startup,Provides cloud-based open platform connecting the buyers and sellers of maritime-related accessories,Unrelated,https://shipmart.in,Shipmart provides cloud-based open platform connecting the buyers and sellers of maritime-related accessories. With the help of this cutting edge technology system provides hassle-free buying and selling of boat accessories by eliminating unnecessary communication over item specifications.,Maritime Tech > Ships Ecommerce > Accessories,,,,,Digital Trading,Online Marketplace,Marine procurement,,,,2019,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,online platform,0.5,0,0,0.15,Nascent,,,,,3388,vishal@shipmart.in,https://linkedin.com/in/vishal-agrawal-b63780191
Logicielsezship,,Software solutions for dangerous goods transport,SaaS,http://www.logicielsezship.com,"Logicielsezship provides software solutions for management and documentation of dangerous goods. Its offers three solutions namely EZ-Ship, EZ-Placard, and EZ-Fleet. EZ-Ship is a software solution for creating required documentation for transport of dangerous goods. The software is constantly updated to reflect regulatory changes in air, sea or land transport and can be used to print all required markings on individual shipment. EZ-Placard is an application to create placards for trucks transporting dangerous goods. EZ-Fleet is a dispatcher tool to map out the distribution of dangerous goods among the fleet.",,,,,,Data Utilisation,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2015,1-10,Canada,Dorval,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,46303,,
LogicTracker,,Provider of fleet management software,Logistics,http://www.logictracker.com,"LogicTracker is a provider of fleet management software. Its features include fleet management, fuel control, security telemetry, driver documentation, route planning and optimisation, geofencing, dispatch management and transport violations monitoring. Its clients include Pepsi and Danone.",,,,,,Digital Trading,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2013,1-10,Argentina,Buenos Aires,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,43913,,
Logilinc,,Cloud-based software solutions provider for logistics industry,Logistics,https://www.logilinc.com,"Logilinc provides a cloud-based software solution to manage logistics - freight forwarding and customs clearances. The solution can be used to monitor and control records and processes, collaborate with stakeholders and transfer documents in a secure environment.",,,,,,Data Utilisation,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2016,1-10,India,Mumbai,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,42972,,
Kerionics,,,,http://kerionics.com/#productos,CO2 capture through a membrane,,,,,,Decarbonisation,Other,Carbon capture,,,Deprioritised,,,,,Global,,,,,,Emerging,,,Miles,,,,FALSE,,,Old,,,1,0.66,0,0.63,Emerging,,,,,16147,,
Logipulse,,Software for freight forwarding management,Logistics,http://www.logipulse.com,"Logipulse provides a software solution for management of various aspects of freight forwarding business. The software can be used to create surface, air or air shipments, shipments consolidation, management of manifests and booking and management of transportation. Customers can also the software for warehousing, print labels and generate invoices and tracking shipments.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2016,1-10,India,Kannur,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,6672,,
Logistics Directory,,Online directory of logistics companies,Maritime,https://www.logisticdirectory.co.za,Provides listing of logistics companies and what industry are they catering to with their contact information. Also provides informational content about various types of logistics services.,,,,,,Data Utilisation,Market Intelligence,,,Competitive Benchmarking,Global Trade Analytics,2015,1-10,South Africa,Nelspruit,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,46171,,
Logistics Planning Services,,Tech enabled freight forwarding services,Maritime,http://www.shiplps.com,"Logistics Planning Services (LPS) is a company which assists its clients in managing and planning their logistics operations with the help of technology. The company provide transportation management software and enterprise level shipping and carrier management software to its clients. Clients can manage and control their freight operations like rate enquiry, tracking, invoicing and billing, inventory management and visibility etc. from a single remote dashboard using their tools. Claims to have 12k+ carriers under contract and moves 2000 loads per day.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,1987,11-50,USA,Woodbury,Global,Yes,Acquired,,,,Mature,,,Miles,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,1,0.66,1,0.83,Mature,,,,,17687,,
Logistitrade,,Online marketplace for shippers and logistics service providers,Maritime,http://logistitrade.com,"Shippers can publish their logistics requirements on the platform and get multiple quotes from different service providers. They can then easily compare different quotes and finalize one in an easy, secured and anonymous manner through the platform. After the selected partner is finalized, a recap email is sent summarizing all agreed costs and contact details.  Signup is free on the platform. Partners :DB Schenker, ABS Logistics, Dorking, KT Trading, Dossier, Bengala AgriCola S.A and Bitumina among others.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2013,1-10,Switzerland,Geneva,Europe,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,41828,,
Sailing Ads,Startup,"Provides application for listing of boats, catamarans, and vessels",Unrelated,https://sailingads.com,"SailingAds is an online mobile application for listing of boats, catamarans, and vessels. The application is available on google play and App store. It also claims to provide a list of stolen vessels and allows the user to register and report for their stolen vessel.",Maritime Tech > Ships Ecommerce > Boats,,,,,Digital Trading,Online Marketplace,,,,,2018,,United Arab Emirates,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,Advertising platform,0.5,0,0,0.15,Nascent,,,,,16347,,
Marine Online,Startup,Maritime eCommerce platform,,https://emarineonline.com,"Marine Online offers the third party e-commerce platform for the maritime industry. As of June 2019, the company has 10,000 product listings and 4,000 services for providing over 10 essential marine services including chartering, bunkering, port agency, ship supply, crewing, ship S&P. The AI-powered platform enables the shipowners to request for the quotations. The company has partnered with M-DAQ in developing an online payment system.",Maritime Tech > Shipping and Port Management > Shipping Management > Procurement,,,,,Digital Trading,Online Marketplace,,,,,2018,,Singapore,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,eCommerce,0.5,0,0,0.15,Nascent,,,,,19403,,
Daphne Technology,Startup,Nanotechnology based solution for air pollution control,Chemicals,https://daphnetechnology.com/,"Daphne Technology provides a nanotechnology-based solution for air pollution control in marine vessels. Its nanotechnology solution is based on catalyst-free scrubber technology. It offers Exhaust Gas cleaning systems for marine engines & boilers. Finds applications across areas like petrochemical, power and transportation industries by small-scale emitters in air emission reduction.",,,,,,Decarbonisation,Other,,,,Deprioritised,,,,,Global,,,,,,Emerging,,,Miles,,FALSE,,FALSE,"Carbon CS, offsetting & trading",CO2 Upcycling,Old,,,1,0.66,0,0.63,Emerging,,,,,20683,,
Sumpap Logistics,Startup,Provider of tech-enabled 4PL services,,https://sumpaplogistics.com,"Sumpap Logistics is a provider of tech-enabled 4PL services. Its features include order fulfillment, the management of inventories, multimodal transport, vendor grading, packaging design, fleet tracking, local deliveries, analytics, freight forwarding, kitting, labelling and project logistics. It utilises RF and RFID technology, and includes an online portal and web platform for visibility and management of logistics processes. It caters to apparel, retail, e-commerce, automotive, FMCG and electronics sectors.",Logistics Tech > Tech Enabled 3PL Services,,,,,Digital Trading,Intelligent Sourcing,,,,,2014,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,subsidiary of a much bigger logistics company,0.5,0,0,0.15,Nascent,,,,,28589,rahul@sumpapindia.com,https://linkedin.com/in/rahul-jain-5235932b
Zhoupu,Startup,Cloud based platform providing supply chain management solutions,,https://zhoupu123.com,"Zhoupu Data Technology provides cloud-based platforms for managing the supply chain of industries. Leverages artificial intelligence, big data, & IoT technologies to provide shopkeepers and other B2B malls with online transaction solutions of upstream and downstream enterprises. Claims to help dealers improve warehouse efficiency & terminal coverage and offer a digital channel management platform that helps dealers in sales and management. Solutions offered by the company include full business process management solution (Australia cloud housekeeper), the unified warehouse technical solution (Australia cloud warehouse), the boat spectrum cloud business B2B mall solution (the Boat spectrum) Shop manager, cattle shop, and micro mall.","SCM Software > Warehouse Management > WMS
 IoT Applications > Industry Specific > Supply Chain
 Logistics Tech > Warehousing > Tech Solutions > WMS",,,,,Digital Trading,Intelligent Sourcing,,,,,2015,,China,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,11994,,
Know-NOx LLC,,,,,"Mission: Clean Air The Know-NOx process has been successfully pilot studied 4 times. Each for a unique applications including: glass furnace exhaust, chemical milling for titanium, exhaust from gold recovery, and diesel exhaust had impressive results.",,,,,,Decarbonisation,CO2 Tracking & Advisory,,,Emissions reduction advisory,Deprioritised,,,,,Global,,,,,,Emerging,,,,,,,FALSE,,,Old,,,1,0.66,0,0.63,Emerging,,,,,49388,,
SalzPoint,Startup,Supply chain management solutions for FMCG industry,,https://salzpoint.com,"SalzPoint is an end-to-end supply chain management solution for the FMCG industry. Offers 'SalzPoint Pro' - a SCM tool for operations through distributors/dealers/sales agents and 'SalzPoint Lite' - a solution for distributors to manage delivery operations & collections from the retail outlets. The solutions cover aspects such as delivery management, field staff tracking & sales management, distribution planning, retail & stock management, order management, and analytics. It is available for a monthly subscription fee.","ERP > Logistics
 Field Force Automation > Multi-Industry > Applications > Workforce Management > Tracking > Geo-Tracking
 Logistics Tech > Parcel > Software Solutions > Delivery Management
 E-Commerce Enablers > Backend > End-to-End Logistics
 In Store Retail Tech > Back Office > Suite",,,,,Data Utilisation,Intelligent Sourcing,,,,,2014,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,NA to our partners,0.5,0,0,0.15,Nascent,,,,,17861,,https://linkedin.com/in/sathyanarayanan-raman-300082138
DRONAMICS,,,Shipping,https://www.dronamics.com,DRONAMICS develops unmanned aerial systems for shipping commercial and special cargo applications.,,,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2014,11-50,Bulgaria,,Europe,Yes,Undisclosed,,,"223,832",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,1322,,
Cario,Startup,SaaS-based multi-carrier shipping solution,,https://cario.com.au,"Cario is a SaaS-based multi-carrier shipping solution. The platform interfaces with existing/third-party systems & webstores to import order & shipping details. Users can further search, compare prices, book and track services in real-time as well as print shipping labels. Additionally, the back-end also offers functionalities to manage shipments, send delivery notifications to end-consumers, and receive data-driven analytics.",Logistics Tech > Ecommerce > Shipping Solutions,,,,,Data Utilisation,Intelligent Sourcing,,,,,2018,,Australia,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,37525,,
Sofreight,Startup,Online comparison and booking platform for freight shipping,,https://sofreight.com,"Sofreight provides an online platform for searching rates, shipment booking, and tracing. Customers can search ad compare multiple shipping carriers from the platform by providing details such as the port of lading and discharge, service type (FCL/LCL). Additional features include vessel schedule and cargo tracking. Partners include CIFA, FFSI, WCA and Intermodal China among others.",Logistics Tech > Freight > Ocean or Air > Carrier Booking > Ocean,,,,,Digital Trading,Online Marketplace,,,,,2012,,China,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,Website not working,0.5,0,0,0.15,Nascent,,,,,49939,michael@sofreight.com,https://linkedin.com/in/%E5%93%B2%E8%B6%85-%E9%92%9F-a780b1144
ManBang,Corporate Venture,Online marketplace for road freight transportation,Logistics,http://manbangbang.com,"Man Bang Group is a joint venture between Huochebang and Yunmanman, two of the biggest players in freight exchanges in China. The company has been funded with a $1.9 B round led by Guoxin Fund and included several other investors like Softbank Vision Fund, CapitalG, Farallon Capital, Baillie Gifford, Ward Ferry, Sunshine Insurance Capital, Jinsha River Ventures, K11 etc.",,,,,,Digital Trading,Digital Bunker Trading,smart' cargo matching,,Cargo Tracking,Cargo Tracking,2017,None Found,China,Guiyang,Global,Yes,Private Equity,,,"1,900,000,000",Mature,,,Vish,Yes,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,,,0.5,0.66,1,0.68,Mature,,,,,20304,,
Lean Marine  ,Startup,,Maritime,https://leanmarine.com/,Our mission is to improve ship performance and work towards better environmental solutions. Our core competency is designing and manufacturing automated fuel-saving and data analysis solutions for vessels.,,,,,,New Customer Services,Fuel Optimisation,,,Deprioritised,Deprioritised,2012,1-10,Sweden,Gothenburg,Europe,No,Unfunded,,,,Nascent,,,,,TRUE,,FALSE,Eco friendly enforcement & enablement,Retrofitting existing vessels with green tech,Old,,,0.5,0,1,0.35,Nascent,,,,,24221,,
Loxygen,Startup,Provides software for managing logistics operations,,https://loxygen.net,"Loxygen offers software for managing logistics operations. It provides solutions like onboarding, analyzing and evaluating using technologies like Blockchain, Artifical Intelligence, and Internet of Things.",Logistics Tech > Freight > Software Solutions > Analytics > SCM,,,,,Data Utilisation,Market Intelligence,,,,,2019,,Singapore,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,too early,0.5,0,0,0.15,Nascent,,,,,10215,,
E-Containers,,Online freight exchange platform for containers,Maritime,https://www.e-containers.eu,"E-Containers provides an online platform to connect shippers and carriers. Customers can post multiple listings on the platform. New booking requests then receive offers through SMS and e-mail notifications and the shipper can finalize the booking.Pricing depends on monthly subscription starting at 120 PLN per month.Clients include DSV, Fedex, Uni Logistics and Kuehne + Nagel among others.",,,,,,Digital Trading,Online Marketplace,Online platform,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2008,1-10,Poland,Gdynia,Europe,No,Unfunded,,,,Emerging,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,1,0,1,0.5,Emerging,,,,,15830,,
DAV,Startup,Blockchain-based platform for the transportation industry,,https://dav.network,"Decentralized Autonomous Vehicles (DAV) provides a blockchain-based platform for the transportation industry. The company aims to connect buyers and sellers of services of manned as well as autonomous vehicles. The platform will be used to provide services like passenger transportation (ride-hailing, rentals, etc), parcel/cargo transportation, management services of vehicles, etc.",,,,,,Digital Trading,Online Marketplace,Connected Services,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2017,11-50,Switzerland,Zug,Europe,Yes,Series A,,,"24,500,000",Emerging,,,Miles,,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,very early especially for maritime,0.5,0.33,1,0.515,Emerging,,,,,15125,"john@dav.network
 tal@dav.network
 noam@dav.network","http://linkedin.com/in/joelopardo
 http://linkedin.com/in/talater
 http://linkedin.com/in/noamcopel"
LBHG Tainer,,,Energy,lngtainer.com,Using LBHG is a realistic step towards emissions reduction. Plug-in standard ISO container.,,,,,,Decarbonisation,New Fuels,LBHG Fuel,Yes,Supply new fuels,Physical Supply of New Fuels,2011,1-10,Finland,,Europe,Yes,Series A,,,"4,890,000",Mature,,1,Vish,Yes,TRUE,,FALSE,,,Old,,,1,0.33,1,0.665,Mature,,,,,12462,,
Trails,Startup,Tech-enabled solution provider for supply chain management,,https://trailsscs.com,"Trails provide tech-enabled solutions for supply chain management. It provides solutions for transport via railways, airways, inland, and sea-ways. The To-Fro model includes services like real-time vehicle analytics and ERP solutions.",Logistics Tech > Freight > Software Solutions > Analytics > SCM,,,,,Digital Trading,Online Marketplace,,,,,2019,,India,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,34494,"srajan.nawal@trailsscs.com
 asha.maheshwari@trailsscs.com
 rajan.mundra@trailsscs.com
 kiran.kumar@trailsscs.com","https://linkedin.com/in/srajan-nawal-35347889
 https://linkedin.com/in/rajan-mundra-66a942123
 https://linkedin.com/in/kiran-kumar-7557ab147"
Prism,Startup,Analytics platform for commercial fleets,,https://prismapp.com.au,"Prism is a cloud-based analytics platform for commercial fleet analysis. The hardware-agnostic solution integrates with external applications to source relevant fleet information. Through this data, the platform provides data-driven insights and statistics into fleet utilization, FTC & financial calculations, and metrics such as fuel consumption, idling time, activity states, & productivity.",Logistics Tech > Freight > Software Solutions > Analytics > Fleet Utilization,,,,,Data Utilisation,Market Intelligence,,,,,2017,,Australia,,Global,No,Unfunded,,,Not Applicable,Nascent,,,,,FALSE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,,0.5,0,0,0.15,Nascent,,,,,31600,,http://linkedin.com/in/sebastian-jezierski-1b9a0a16
